100000,PDF,WOS,WOP
0.0,1972.4558476714838,1883.0,1950.0
0.20161290322580644,5283.396949087282,5177.0,5188.0
0.4032258064516129,7178.055108443482,7078.0,7059.0
0.6048387096774193,7724.788147264805,7661.0,7726.0
0.8064516129032258,7415.172397084113,7374.0,7329.0
1.0080645161290323,6711.433216227003,6823.0,6565.0
1.2096774193548385,5900.028640229849,5743.0,5841.0
1.411290322580645,5120.702807824451,5088.0,5091.0
1.6129032258064515,4427.39800259293,4448.0,4446.0
1.814516129032258,3832.112948902877,3818.0,3911.0
2.0161290322580645,3329.0820515825603,3269.0,3361.0
2.217741935483871,2906.47618958913,2958.0,2877.0
2.419354838709677,2551.551372563382,2519.0,2577.0
2.6209677419354835,2252.66161241236,2324.0,2311.0
2.82258064516129,1999.86495319166,1983.0,2022.0
3.0241935483870965,1784.9426439245697,1768.0,1760.0
3.225806451612903,1601.2035719519424,1566.0,1596.0
3.4274193548387095,1443.2350701398477,1412.0,1518.0
3.629032258064516,1306.6647178288038,1291.0,1294.0
3.8306451612903225,1187.9549682851432,1197.0,1152.0
4.032258064516129,1084.2343484559285,1106.0,1069.0
4.233870967741935,993.1620248077394,1041.0,1012.0
4.435483870967742,912.8204447548583,943.0,899.0
4.637096774193548,841.6306870025536,817.0,841.0
4.838709677419354,778.2858067232252,800.0,824.0
5.040322580645161,721.6982913166164,738.0,706.0
5.241935483870967,670.9585291220399,686.0,667.0
5.443548387096774,625.3018634336249,635.0,608.0
5.64516129032258,584.0823463572953,593.0,581.0
5.846774193548387,546.7517340761008,559.0,542.0
6.048387096774193,512.8425964850553,529.0,509.0
6.25,481.95466934821127,503.0,494.0
6.451612903225806,453.7437729634941,464.0,510.0
6.653225806451612,427.91277148958585,442.0,451.0
6.854838709677419,404.20416236332244,420.0,433.0
7.056451612903225,382.39397392144105,398.0,384.0
7.258064516129032,362.28671777707166,364.0,398.0
7.459677419354838,343.7111955013117,345.0,361.0
7.661290322580645,326.51700036508413,307.0,318.0
7.862903225806451,310.5715870647757,301.0,306.0
8.064516129032258,295.75780757433444,321.0,315.0
8.266129032258064,281.97183112425586,251.0,288.0
8.46774193548387,269.12138201040244,281.0,256.0
8.669354838709676,257.124241406749,292.0,237.0
8.870967741935484,245.90696930244656,290.0,232.0
9.07258064516129,235.40381064930116,255.0,254.0
9.274193548387096,225.5557562118718,231.0,220.0
9.475806451612902,216.30973378449215,212.0,229.0
9.677419354838708,207.61790963180343,214.0,203.0
9.879032258064516,199.43708342054083,212.0,203.0
10.080645161290322,191.7281626960782,195.0,209.0
10.282258064516128,184.4557052404411,186.0,181.0
10.483870967741934,177.58751952667296,178.0,179.0
10.685483870967742,171.0943150342453,196.0,161.0
10.887096774193548,164.94939547382904,161.0,145.0
11.088709677419354,159.12838903581473,152.0,154.0
11.29032258064516,153.6090106655813,149.0,149.0
11.491935483870966,148.37085211113487,175.0,141.0
11.693548387096774,143.39519611131084,154.0,158.0
11.89516129032258,138.66485161627833,129.0,140.0
12.096774193548386,134.16400737319978,150.0,132.0
12.298387096774192,129.87810158320568,128.0,137.0
12.5,125.79370565174858,135.0,143.0
12.701612903225806,121.89842032340331,128.0,105.0
12.903225806451612,118.18078272071708,116.0,136.0
13.104838709677418,114.6301830024607,97.0,112.0
13.306451612903224,111.23678952372207,109.0,84.0
13.508064516129032,107.9914815238392,107.0,103.0
13.709677419354838,104.8857884916099,106.0,90.0
13.911290322580644,101.91183546340437,106.0,96.0
14.11290322580645,99.06229360173158,107.0,94.0
14.314516129032258,96.33033548113178,83.0,114.0
14.516129032258064,93.70959457716683,113.0,102.0
14.71774193548387,91.19412851408548,83.0,101.0
14.919354838709676,88.77838567874218,88.0,81.0
15.120967741935482,86.45717485382536,95.0,95.0
15.32258064516129,84.22563756294993,83.0,87.0
15.524193548387096,82.07922285499991,77.0,71.0
15.725806451612902,80.01366428535827,85.0,88.0
15.927419354838708,78.02495887848023,65.0,93.0
16.129032258064516,76.10934787960211,100.0,85.0
16.33064516129032,74.26329912419428,58.0,86.0
16.532258064516128,72.48349087183789,81.0,74.0
16.733870967741936,70.76679696745025,70.0,71.0
16.93548387096774,69.11027320696886,62.0,64.0
17.137096774193548,67.5111447971992,59.0,65.0
17.338709677419352,65.96679481086984,66.0,69.0
17.54032258064516,64.47475354769833,81.0,56.0
17.741935483870968,63.03268872131507,61.0,66.0
17.943548387096772,61.638396399684574,70.0,51.0
18.14516129032258,60.28979263368039,49.0,63.0
18.346774193548384,58.984905714889315,58.0,65.0
18.548387096774192,57.72186900915715,66.0,62.0
18.75,56.498914317611174,51.0,43.0
18.951612903225804,55.31436572126305,67.0,54.0
19.153225806451612,54.16663386941315,69.0,51.0
19.354838709677416,53.054210675752834,49.0,46.0
19.556451612903224,51.975664389214415,59.0,55.0
19.758064516129032,50.92963500972561,47.0,53.0
19.959677419354836,49.91483002153713,43.0,61.0
20.161290322580644,48.93002041928551,53.0,63.0
20.362903225806452,47.97403700409486,57.0,65.0
20.564516129032256,47.04576692895271,40.0,45.0
20.766129032258064,46.1441504744059,55.0,53.0
20.96774193548387,45.26817803721314,49.0,39.0
21.169354838709676,44.416887316041375,50.0,68.0
21.370967741935484,43.589360679629344,37.0,52.0
21.57258064516129,42.784722704039545,33.0,47.0
21.774193548387096,42.00213786669516,48.0,32.0
21.9758064516129,41.240808385931835,38.0,40.0
22.177419354838708,40.49997219564977,37.0,33.0
22.379032258064516,39.778901045531974,48.0,46.0
22.58064516129032,39.07689871799208,32.0,43.0
22.782258064516128,38.393299353758906,41.0,48.0
22.983870967741932,37.72746587858977,49.0,36.0
23.18548387096774,37.07878852419535,39.0,46.0
23.387096774193548,36.44668343701987,50.0,25.0
23.588709677419352,35.83059136892039,37.0,38.0
23.79032258064516,35.229976444318964,34.0,34.0
23.991935483870968,34.64432499877476,46.0,25.0
24.193548387096772,34.073144484261796,35.0,24.0
24.39516129032258,33.51596243683433,33.0,39.0
24.596774193548384,32.97232550265039,37.0,42.0
24.798387096774192,32.44179851861276,43.0,43.0
